,Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
44673,2019140805407,429140.0,381931.0,-1.563884,53.333509,14,2,2,1,01/01/2019,3,15:55,215,E08000019,3,625,6,50,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01007926
44674,2019140805409,434290.0,385121.0,-1.486208,53.361875,14,3,2,1,01/01/2019,3,04:00,215,E08000019,6,0,1,30,1,4,6,0,0,0,4,1,1,0,0,1,1,E01008052
44676,2019140805414,435393.0,391745.0,-1.468895,53.42134,14,1,1,1,01/01/2019,3,04:09,215,E08000019,6,0,6,30,3,4,6,0,0,1,4,1,1,0,0,1,1,E01008123
44677,2019140805567,433949.0,396778.0,-1.490081,53.466671999999996,14,2,2,1,01/01/2019,3,12:41,215,E08000019,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01007901
44680,2019140805955,433662.0,389819.0,-1.4951459999999999,53.40414200000001,14,3,2,1,03/01/2019,5,13:20,215,E08000019,3,6101,6,40,9,2,3,61,0,0,1,1,1,0,0,1,2,E01008093
44682,2019140806028,434794.0,385090.0,-1.478638,53.361564,14,2,1,1,05/01/2019,7,17:48,215,E08000019,3,621,6,30,0,-1,-1,0,0,0,4,8,1,0,0,1,1,E01008112
44686,2019140806046,435975.0,388125.0,-1.4605489999999999,53.388764,14,3,2,3,06/01/2019,1,09:49,215,E08000019,3,6109,3,30,6,2,3,6135,0,0,1,1,1,0,0,1,1,E01033269
44689,2019140806071,438839.0,386370.0,-1.417704,53.372788,14,2,3,1,06/01/2019,1,13:50,215,E08000019,3,6102,3,30,6,2,6,0,0,0,1,1,1,0,0,1,1,E01008017
44691,2019140806299,433306.0,389692.0,-1.500514,53.403023,14,2,1,1,07/01/2019,2,14:20,215,E08000019,3,6101,6,30,0,-1,-1,0,0,1,1,2,2,0,0,1,1,E01008093
44692,2019140806430,434729.0,384359.0,-1.479695,53.354997,14,2,2,1,08/01/2019,3,07:48,215,E08000019,3,61,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01007981
44697,2019140806621,435056.0,390771.0,-1.4740739999999999,53.412608,14,3,2,1,09/01/2019,4,07:55,215,E08000019,3,6102,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01008094
44700,2019140806761,428419.0,388943.0,-1.574084,53.396575,14,3,2,1,09/01/2019,4,18:27,215,E08000019,4,6076,6,60,0,-1,-1,0,0,0,4,1,1,0,0,2,1,E01008129
44702,2019140806799,435670.0,389133.0,-1.465021,53.397845,14,3,2,1,10/01/2019,5,07:40,215,E08000019,3,6135,6,30,3,4,4,6075,0,0,4,2,2,0,0,1,1,E01007870
44704,2019140806830,435147.0,380710.0,-1.473819,53.322171999999995,14,3,3,1,01/01/2019,3,11:25,215,E08000019,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01008083
44705,2019140806910,434596.0,384081.0,-1.481723,53.352506999999996,14,3,1,1,05/01/2019,7,17:45,215,E08000019,3,61,6,30,0,-1,-1,0,0,0,4,1,2,0,0,1,2,E01007983
44707,2019140806943,435390.0,385540.0,-1.469633,53.365568999999994,14,3,2,1,10/01/2019,5,17:07,215,E08000019,4,6388,6,30,9,2,3,61,0,0,4,1,1,4,0,1,2,E01008108
44708,2019140806950,443411.0,384277.0,-1.349277,53.353621,14,3,2,1,10/01/2019,5,18:15,215,E08000019,6,0,6,30,1,4,3,57,0,0,4,1,1,0,0,2,2,E01008028
44711,2019140807077,436960.0,391124.0,-1.44539,53.415652,14,2,2,2,11/01/2019,6,09:30,215,E08000019,4,6086,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01007851
44716,2019140807257,439300.0,382953.0,-1.411198,53.342042000000006,14,2,1,1,11/01/2019,6,15:40,215,E08000019,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01007843
44719,2019140807281,443437.0,384233.0,-1.3488930000000001,53.353224,14,3,1,1,12/01/2019,7,01:05,215,E08000019,3,57,1,40,1,4,6,0,0,0,4,1,1,0,0,2,1,E01008034
44722,2019140807319,434680.0,390795.0,-1.4797280000000002,53.412848,14,3,2,1,08/01/2019,3,15:15,215,E08000019,6,0,6,20,3,4,6,0,0,0,1,1,1,0,0,1,2,E01007950
44724,2019140807351,434464.0,388383.0,-1.48324,53.391183,14,3,2,1,12/01/2019,7,21:15,215,E08000019,6,0,3,30,6,2,6,0,0,4,4,4,1,0,0,1,1,E01008072
44725,2019140807352,432658.0,385131.0,-1.510729,53.36206800000001,14,3,2,1,10/01/2019,5,18:45,215,E08000019,6,0,6,30,6,4,6,0,0,0,7,1,1,0,0,1,1,E01007936
44729,2019140807381,435155.0,381176.0,-1.473647,53.32636,14,3,2,1,11/01/2019,6,20:52,215,E08000019,3,61,1,40,0,-1,-1,0,0,0,4,1,1,0,0,2,1,E01008079
44732,2019140807395,437565.0,390164.0,-1.436402,53.406980000000004,14,2,1,1,13/01/2019,1,17:51,215,E08000019,3,6102,6,30,0,-1,-1,0,0,0,4,4,2,0,2,1,1,E01007855
44733,2019140807396,438907.0,391594.0,-1.4160409999999999,53.419737,14,3,2,1,13/01/2019,1,18:30,215,E08000019,6,0,6,30,3,2,6,0,0,0,4,2,2,0,0,1,1,E01007852
44734,2019140807507,435829.0,385400.0,-1.463052,53.364281000000005,14,3,2,2,13/01/2019,1,13:27,215,E08000019,6,0,6,30,0,-1,-1,0,0,0,4,4,1,0,0,1,2,E01008099
44738,2019140807942,434491.0,386175.0,-1.4830729999999999,53.371336,14,3,2,1,15/01/2019,3,10:45,215,E08000019,6,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01033272
44741,2019140808078,436835.0,388015.0,-1.447632,53.387716000000005,14,3,2,4,15/01/2019,3,20:30,215,E08000019,4,6071,1,30,2,4,4,6071,0,0,4,1,1,0,0,1,2,E01033269
44744,2019140808380,434847.0,393239.0,-1.4769459999999999,53.43480400000001,14,3,2,1,14/01/2019,2,15:15,215,E08000019,6,0,6,20,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01008117
44746,2019140808398,442736.0,383867.0,-1.359473,53.349991,14,2,1,1,17/01/2019,5,05:34,215,E08000019,3,57,6,50,0,-1,-1,0,0,0,4,3,2,0,0,2,1,E01008029
44748,2019140808600,435855.0,387999.0,-1.4623680000000001,53.387640000000005,14,3,3,1,17/01/2019,5,09:38,215,E08000019,3,61,3,30,0,-1,-1,0,0,5,1,1,2,0,0,1,1,E01033270
44749,2019140808612,438532.0,386045.0,-1.4223569999999999,53.369889,14,2,2,1,17/01/2019,5,12:22,215,E08000019,6,0,6,30,6,4,6,0,0,0,1,1,2,0,0,1,1,E01008012
44750,2019140808665,432646.0,389352.0,-1.510476,53.40000799999999,14,3,2,1,12/01/2019,7,15:13,215,E08000019,3,6101,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01008160
44755,2019140808783,439380.0,386572.0,-1.409548,53.374563,14,2,2,2,11/01/2019,6,18:00,215,E08000019,3,57,3,50,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01008017
44756,2019140808795,435665.0,389241.0,-1.465084,53.398816000000004,14,1,1,1,14/01/2019,2,10:37,215,E08000019,3,6135,6,30,3,4,6,0,0,8,1,1,2,0,0,1,1,E01007870
44758,2019140808874,435049.0,388742.0,-1.474404,53.394372,14,3,2,1,17/01/2019,5,07:45,215,E08000019,4,6075,6,30,0,-1,-1,0,0,0,1,4,4,0,0,1,2,E01033270
44759,2019140808912,440754.0,386348.0,-1.388926,53.372446,14,3,1,1,18/01/2019,6,12:25,215,E08000019,4,6200,3,30,7,4,6,0,0,0,1,1,1,0,0,1,1,E01007909
44760,2019140808963,436608.0,390245.0,-1.450787,53.407775,14,3,1,1,16/01/2019,4,13:00,215,E08000019,3,6102,6,30,9,2,4,6086,0,4,1,1,1,0,0,1,2,E01007944
44762,2019140808979,433271.0,391157.0,-1.500887,53.416192,14,3,1,2,19/01/2019,7,00:26,215,E08000019,3,61,3,30,9,4,6,0,0,0,6,2,2,0,0,1,1,E01008089
44766,2019140809024,436761.0,391416.0,-1.4483489999999999,53.41829,14,3,1,1,18/01/2019,6,17:45,215,E08000019,4,6086,6,20,1,4,4,6086,0,1,4,3,2,0,0,1,2,E01008062
44771,2019140809077,439764.0,385345.0,-1.40393,53.36350699999999,14,3,4,1,17/01/2019,5,15:00,215,E08000019,4,6065,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01008008
44778,2019140809365,436146.0,392511.0,-1.4574770000000001,53.428174,14,3,2,3,21/01/2019,2,13:57,215,E08000019,3,6135,6,30,6,2,6,0,0,0,1,1,1,0,0,1,1,E01008060
44779,2019140809391,438840.0,386371.0,-1.4176879999999998,53.372797,14,3,2,1,21/01/2019,2,21:30,215,E08000019,3,6102,3,40,6,4,6,0,0,0,4,2,2,0,0,1,1,E01008017
44784,2019140810060,437078.0,382820.0,-1.444585,53.34100600000001,14,3,1,1,23/01/2019,4,15:40,215,E08000019,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01008076
44785,2019140810129,436677.0,383810.0,-1.450493,53.349931999999995,14,3,1,1,24/01/2019,5,08:11,215,E08000019,6,0,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01008075
44786,2019140810188,433619.0,394151.0,-1.4953319999999999,53.44308100000001,14,2,1,1,24/01/2019,5,09:15,215,E08000019,6,0,6,30,3,4,3,61,0,0,1,9,1,0,0,1,1,E01008137
44787,2019140810314,438882.0,387975.0,-1.4168610000000001,53.387209999999996,14,3,2,1,23/01/2019,4,18:25,215,E08000019,4,6200,6,30,9,4,6,0,0,0,4,1,4,0,0,1,1,E01007906
44790,2019140810330,436471.0,386845.0,-1.453239,53.377225,14,3,2,2,24/01/2019,5,20:40,215,E08000019,4,6070,6,30,6,4,6,0,0,0,4,1,2,0,0,1,1,E01007879
44792,2019140810365,438915.0,392380.0,-1.415823,53.426801,14,3,2,1,24/01/2019,5,06:30,215,E08000019,1,1,3,70,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01007852
44799,2019140810574,438444.0,383920.0,-1.423937,53.350795999999995,14,1,1,1,24/01/2019,5,09:03,215,E08000019,4,6063,6,30,6,2,3,6102,0,8,1,1,2,0,0,1,1,E01008001
44803,2019140810621,433564.0,393991.0,-1.496177,53.441646999999996,14,3,2,1,26/01/2019,7,14:22,215,E08000019,3,61,6,30,9,4,6,0,0,0,4,1,1,0,0,1,2,E01008134
44809,2019140810663,434693.0,386555.0,-1.4799959999999999,53.374738,14,2,1,1,26/01/2019,7,06:20,215,E08000019,3,61,3,40,0,-1,-1,0,0,7,4,1,2,0,0,1,1,E01008114
44823,2019140811257,433861.0,382225.0,-1.4929629999999998,53.335871999999995,14,3,2,1,29/01/2019,3,07:45,215,E08000019,4,6068,1,30,2,4,6,0,0,1,1,1,1,0,0,1,2,E01007834
44824,2019140811309,436652.0,391329.0,-1.449999,53.417515,14,2,1,1,29/01/2019,3,11:13,215,E08000019,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01007948
44826,2019140811336,433374.0,392576.0,-1.499187,53.428940000000004,14,3,1,1,29/01/2019,3,08:15,215,E08000019,6,0,6,30,9,4,6,0,0,1,1,1,1,0,0,1,1,E01008086
44831,2019140811732,433240.0,385707.0,-1.501924,53.367208999999995,14,3,1,1,30/01/2019,4,12:20,215,E08000019,6,0,6,30,1,4,6,0,0,4,1,1,1,1,0,1,1,E01008048
44832,2019140811744,439618.0,386510.0,-1.4059780000000002,53.373988,14,3,2,1,30/01/2019,4,12:56,215,E08000019,3,57,1,70,5,4,3,57,0,0,1,1,1,0,0,1,1,E01007910
44834,2019140811765,436568.0,392927.0,-1.451078,53.431884,14,3,1,1,30/01/2019,4,17:25,215,E08000019,6,0,1,20,0,-1,-1,0,0,0,4,1,1,0,0,1,2,E01008057
44838,2019140811963,433823.0,392783.0,-1.492408,53.430772,14,3,2,1,31/01/2019,5,10:35,215,E08000019,6,0,6,30,3,2,6,0,0,0,1,8,4,0,0,1,1,E01008085
44841,2019140812102,435285.0,394029.0,-1.470265,53.441876,14,2,1,1,31/01/2019,5,18:03,215,E08000019,4,6087,6,30,0,-1,-1,0,0,0,4,8,2,0,0,1,1,E01008135
44842,2019140812373,436167.0,386484.0,-1.457849,53.374001,14,3,2,1,01/02/2019,6,08:55,215,E08000019,4,6070,6,30,0,-1,-1,0,0,0,1,3,4,0,0,1,2,E01008095
44849,2019140812496,434837.0,390648.0,-1.477382,53.411517,14,2,2,1,02/02/2019,7,16:10,215,E08000019,3,6102,6,30,9,4,6,0,0,0,1,1,1,1,0,1,1,E01008094
44851,2019140812506,434190.0,388669.0,-1.4873290000000001,53.393772,14,3,2,1,03/02/2019,1,12:10,215,E08000019,6,0,3,30,3,2,6,0,0,0,1,1,2,0,0,1,1,E01008072
44852,2019140812515,431736.0,380159.0,-1.525079,53.317434,14,3,1,1,31/01/2019,5,18:10,215,E08000019,6,0,6,30,6,2,6,0,0,5,4,1,1,0,0,1,2,E01007924
44853,2019140812540,433671.0,395537.0,-1.494401,53.455535999999995,14,2,2,3,03/02/2019,1,06:33,215,E08000019,3,61,6,50,3,4,6,0,0,0,4,4,2,0,0,2,1,E01008135
44856,2019140812899,442273.0,383886.0,-1.366425,53.350198999999996,14,2,2,2,03/02/2019,1,17:35,215,E08000019,3,57,6,50,0,-1,-1,0,0,0,4,1,2,0,0,2,1,E01008029
44866,2019140813335,435956.0,386720.0,-1.4609940000000001,53.376137,14,2,1,1,05/02/2019,3,20:50,215,E08000019,4,6071,6,30,9,2,6,0,0,5,4,2,2,0,0,1,1,E01033268
44868,2019140813451,438591.0,386886.0,-1.421368,53.377444,14,3,2,1,06/02/2019,4,07:17,215,E08000019,3,57,3,50,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01008017
44869,2019140813507,434116.0,388732.0,-1.488435,53.394343000000006,14,3,1,1,06/02/2019,4,06:52,215,E08000019,6,0,3,30,9,2,6,0,0,5,4,1,2,0,0,1,1,E01008072
44871,2019140813546,443653.0,381404.0,-1.3460379999999998,53.32777900000001,14,3,2,1,05/02/2019,3,22:22,215,E08000019,4,6058,6,30,0,-1,-1,0,0,0,4,1,2,0,0,1,2,E01008019
44872,2019140813623,434931.0,385343.0,-1.476552,53.363829,14,3,2,1,04/02/2019,2,18:30,215,E08000019,3,621,6,30,3,4,4,6081,0,0,4,1,1,0,0,1,2,E01008112
44873,2019140813658,434241.0,384040.0,-1.487061,53.352162,14,2,2,1,06/02/2019,4,07:55,215,E08000019,3,621,6,30,9,4,6,0,0,0,1,1,2,0,0,1,1,E01008046
44882,2019140814056,436767.0,388366.0,-1.448613,53.390876,14,2,4,1,07/02/2019,5,09:42,215,E08000019,3,6109,6,30,0,-1,-1,0,0,0,1,2,2,0,0,1,1,E01033269
44883,2019140814108,435636.0,395858.0,-1.464775,53.45829200000001,14,2,2,1,07/02/2019,5,16:57,215,E08000019,3,6135,6,30,9,4,6,0,0,0,4,1,1,0,0,1,1,E01007894
44885,2019140814123,430489.0,392875.0,-1.542577,53.431802000000005,14,2,2,1,06/02/2019,4,22:15,215,E08000019,6,0,6,30,3,4,6,0,0,0,4,2,2,0,0,2,1,E01008126
44888,2019140814229,433483.0,385880.0,-1.4982540000000002,53.368748,14,3,2,1,08/02/2019,6,08:20,215,E08000019,3,625,6,30,3,4,6,0,0,0,1,2,2,0,0,1,1,E01007863
44890,2019140814370,435407.0,391739.0,-1.468685,53.421285,14,2,2,1,08/02/2019,6,12:45,215,E08000019,6,0,6,30,3,4,6,0,0,0,1,9,2,0,0,1,1,E01007946
44891,2019140814400,422279.0,390697.0,-1.666295,53.41263299999999,14,2,2,1,08/02/2019,6,15:53,215,E08000019,6,0,6,60,0,-1,-1,0,0,0,1,5,2,0,0,2,1,E01008128
