,Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Casualty_IMD_Decile
55934,2019140805407,1,1,1,1,61,9,2,0,0,0,0,0,1,1,2
55935,2019140805409,1,1,1,1,25,5,3,0,0,0,0,0,9,-1,-1
55938,2019140805414,1,1,1,1,21,5,1,0,0,0,0,0,9,-1,-1
55939,2019140805567,2,1,2,1,37,7,2,0,0,1,0,0,9,-1,-1
55943,2019140805955,1,1,1,2,50,8,3,0,0,0,0,0,9,-1,-1
55945,2019140806028,1,1,3,2,26,6,2,5,1,0,0,-1,0,-1,-1
55950,2019140806046,1,1,1,1,36,7,3,0,0,0,0,0,9,-1,-1
55951,2019140806046,2,2,2,2,17,4,3,0,0,2,0,0,9,-1,-1
55952,2019140806046,2,3,2,2,47,8,3,0,0,1,0,0,9,-1,-1
55956,2019140806071,1,1,1,1,19,4,2,0,0,0,0,0,97,-1,-1
55958,2019140806299,1,1,3,1,18,4,2,1,9,0,0,2,0,-1,-1
55959,2019140806430,2,1,1,1,36,7,2,0,0,0,0,0,1,-1,-1
55966,2019140806621,2,1,1,1,24,5,3,0,0,0,0,0,3,-1,-1
55969,2019140806761,1,1,1,2,18,4,3,0,0,0,0,0,9,-1,-1
55972,2019140806799,2,1,1,1,37,7,3,0,0,0,0,0,1,-1,-1
55974,2019140806830,1,1,3,2,76,11,3,6,9,0,0,2,0,-1,-1
55975,2019140806910,1,1,3,1,57,9,3,5,3,0,0,0,0,-1,-1
55977,2019140806943,1,1,1,2,57,9,3,0,0,0,0,0,9,1,10
55978,2019140806950,1,1,1,1,29,6,3,0,0,0,0,0,1,1,8
55981,2019140807077,1,1,1,1,39,7,3,0,0,0,0,0,9,-1,-1
55982,2019140807077,2,2,1,1,36,7,2,0,0,0,0,0,9,-1,-1
55992,2019140807257,1,1,3,1,13,3,2,5,1,0,0,2,0,1,2
55995,2019140807281,1,1,1,2,36,7,3,0,0,0,0,0,9,1,1
56001,2019140807319,1,1,1,1,13,3,3,0,0,0,0,0,1,-1,-1
56003,2019140807351,2,1,1,1,34,6,3,0,0,0,0,0,9,-1,-1
56004,2019140807352,1,1,1,2,24,5,3,0,0,0,0,0,1,1,10
56010,2019140807381,2,1,1,1,33,6,3,0,0,0,0,0,5,-1,-1
56014,2019140807395,1,1,3,2,52,8,2,5,2,0,0,2,0,-1,-1
56015,2019140807396,1,1,2,2,40,7,3,0,0,2,0,0,9,-1,-1
56016,2019140807507,1,1,1,1,55,8,3,0,0,0,0,0,9,1,9
56017,2019140807507,1,2,2,1,19,4,3,0,0,1,0,0,9,1,9
56021,2019140807942,2,1,1,2,56,9,3,0,0,0,0,0,1,-1,-1
56024,2019140808078,1,1,2,1,29,6,3,0,0,2,0,0,9,-1,-1
56025,2019140808078,1,2,2,1,26,6,3,0,0,2,0,0,9,-1,-1
56026,2019140808078,1,3,2,1,24,5,3,0,0,1,0,0,9,1,1
56027,2019140808078,1,4,2,1,23,5,3,0,0,2,0,0,9,1,1
56030,2019140808380,1,1,1,1,12,3,3,0,0,0,0,0,1,-1,-1
56032,2019140808398,1,1,3,2,23,5,2,5,1,0,0,0,0,1,4
