,Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,Vehicle_IMD_Decile
81165,2019140805407,1,1,0,18,0,0,0,0,0,0,1,1,5,1,61,9,-1,-1,-1,2,1,2
81166,2019140805407,2,9,0,18,0,0,0,0,0,0,3,1,5,1,68,10,2993,2,7,5,2,5
81167,2019140805409,1,9,0,16,9,2,0,7,7,11,1,1,6,1,25,5,1968,2,8,1,1,1
81168,2019140805409,2,9,0,-1,-1,1,-1,-1,-1,0,-1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
81171,2019140805414,1,9,0,18,0,1,1,0,1,11,1,1,6,1,21,5,1910,2,12,1,1,1
81172,2019140805567,1,9,0,18,0,8,0,0,0,0,1,1,6,1,40,7,-1,-1,-1,1,1,1
81173,2019140805567,2,9,0,7,0,1,0,0,0,0,1,1,6,1,39,7,1896,2,13,1,1,1
81176,2019140805955,1,9,0,17,0,6,0,0,0,0,1,1,5,2,50,8,1995,2,8,1,1,1
81177,2019140805955,2,9,0,17,0,6,0,0,0,0,4,1,6,3,-1,-1,2777,2,12,-1,-1,-1
81182,2019140806028,1,11,0,18,0,0,0,0,0,0,1,1,1,1,63,9,6871,2,12,3,1,3
81188,2019140806046,1,9,0,18,0,8,0,0,0,0,3,1,1,1,36,7,1999,2,1,-1,-1,-1
81189,2019140806046,2,9,0,18,0,8,0,0,0,0,1,1,5,1,52,8,1753,2,16,1,1,1
81192,2019140806071,1,97,0,18,0,6,0,0,0,0,1,1,5,1,19,4,-1,-1,-1,1,1,1
81193,2019140806071,2,4,0,18,0,1,0,0,0,0,0,1,1,1,-1,-1,250,1,2,1,1,1
81194,2019140806071,3,9,0,18,0,4,0,0,0,0,4,1,5,2,65,9,998,1,7,3,1,3
81196,2019140806299,1,9,0,18,0,0,0,0,0,0,1,1,2,2,48,8,998,1,11,3,1,3
81197,2019140806430,1,9,0,9,2,0,0,0,0,0,1,1,2,1,48,8,1769,1,13,6,1,6
81198,2019140806430,2,1,0,18,4,0,0,0,0,0,1,1,2,1,36,7,-1,-1,-1,6,1,6
81206,2019140806621,1,9,0,5,0,0,0,0,0,0,1,2,2,2,24,5,1242,1,3,3,1,3
81207,2019140806621,2,3,0,9,0,0,0,0,0,0,2,1,5,1,24,5,124,1,4,1,1,1
